LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Thu Dec 26 20:32:42 +0330 2019
 500 atoms
 2 bonds
 0 angles
 0 dihedrals
 0 impropers
 2 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.500000 0.500000  xlo xhi
 -0.500000 0.500000  ylo yhi
 -0.500000 0.500000  zlo zhi

# Pair Coeffs
#
# 1  AL
# 2  O

# Bond Coeffs
#
# 1  

 Masses

 1 26.981539 # AL
 2 15.999400 # O

 Atoms # full

79 4 2 0.000000 111.192001 15.328000 12.052000 # O HOH
80 5 2 0.000000 118.595001 4.565000 19.400999 # O HOH
81 1 1 0.000000 81.123001 3.331000 43.712002 # AL UNL
82 2 1 0.000000 78.143997 6.778000 40.595001 # AL UNL
83 3 2 0.000000 80.675003 0.089000 38.740002 # O HOH
84 4 2 0.000000 82.460999 5.577000 49.658001 # O HOH
85 5 2 0.000000 74.540001 13.085000 39.384998 # O HOH
86 1 1 0.000000 48.705002 9.489000 12.079000 # AL UNL
87 2 1 0.000000 49.609001 9.529000 17.524000 # AL UNL
88 3 2 0.000000 51.828999 4.454000 12.635000 # O HOH
89 4 2 0.000000 45.282001 14.560000 9.896000 # O HOH
90 5 2 0.000000 49.002998 12.444000 24.260000 # O HOH
91 1 1 0.000000 34.160000 10.326000 16.969999 # AL UNL
92 2 1 0.000000 39.236000 12.185000 18.087000 # AL UNL
93 3 2 0.000000 35.048000 7.760000 22.267000 # O HOH
94 4 2 0.000000 31.752001 12.361000 11.291000 # O HOH
95 5 2 0.000000 45.305000 16.052000 16.521999 # O HOH
96 1 1 0.000000 84.082001 7.327000 57.800999 # AL UNL
97 2 1 0.000000 89.567001 6.980000 57.284000 # AL UNL
98 3 2 0.000000 85.598999 6.519000 63.500000 # O HOH
99 4 2 0.000000 80.918999 8.244000 52.202000 # O HOH
100 5 2 0.000000 95.808998 6.991000 53.375999 # O HOH
101 1 1 0.000000 108.174004 12.736000 74.494003 # AL UNL
102 2 1 0.000000 105.304001 9.071000 71.525002 # AL UNL
103 3 2 0.000000 112.324997 11.152000 70.532997 # O HOH
104 4 2 0.000000 104.837997 15.425000 79.375999 # O HOH
105 5 2 0.000000 99.228996 5.226000 69.932999 # O HOH
106 1 1 0.000000 16.080000 5.904000 46.087002 # AL UNL
107 2 1 0.000000 10.606000 5.263000 46.396999 # AL UNL
108 3 2 0.000000 14.429000 11.567000 46.880001 # O HOH
109 4 2 0.000000 19.375999 0.378000 45.195000 # O HOH
110 5 2 0.000000 4.455000 1.213000 46.348999 # O HOH
111 1 1 0.000000 70.833000 14.659000 75.671997 # AL UNL
112 2 1 0.000000 70.603996 12.457000 70.614998 # AL UNL
113 3 2 0.000000 76.031998 16.563999 73.489998 # O HOH
114 4 2 0.000000 65.653000 13.390000 79.379997 # O HOH
115 5 2 0.000000 67.352997 8.523000 65.306000 # O HOH
116 1 1 0.000000 16.518000 16.061001 85.404999 # AL UNL
117 2 1 0.000000 13.006000 12.544000 83.003998 # AL UNL
118 3 2 0.000000 11.388000 17.995001 87.723000 # O HOH
119 4 2 0.000000 22.742001 15.157000 83.779999 # O HOH
120 5 2 0.000000 11.373000 6.890000 78.577003 # O HOH
121 1 1 0.000000 85.609001 6.971000 27.240000 # AL UNL
122 2 1 0.000000 86.125999 12.320000 28.500000 # AL UNL
123 3 2 0.000000 84.027000 9.404000 22.044001 # O HOH
124 4 2 0.000000 87.053001 2.922000 32.110001 # O HOH
125 5 2 0.000000 87.695999 17.865000 33.085999 # O HOH
