LAMMPS data file. CGCMM style. atom_style atomic generated by VMD/TopoTools v1.7 on Thu Dec 26 20:24:31 +0330 2019
 500 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 2 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.500000 0.500000  xlo xhi
 -0.500000 0.500000  ylo yhi
 -0.500000 0.500000  zlo zhi

# Pair Coeffs
#
# 1  AL
# 2  O

 Masses

 1 26.981539 # AL
 2 15.999400 # O

 Atoms # atomic

1 1 50.814999 13.422000 52.397999 # AL
2 1 51.713001 8.005000 52.960999 # AL
3 2 51.104000 11.832000 46.669998 # O
4 2 50.257000 16.641001 58.013000 # O
5 2 52.710999 1.893000 56.945999 # O
6 1 89.511002 6.082000 61.201000 # AL
7 1 91.711998 10.891000 59.617001 # AL
8 2 88.410004 9.359000 66.046997 # O
9 2 89.967003 1.344000 56.782001 # O
10 2 95.188004 15.255000 54.811001 # O
11 1 20.357000 6.003000 82.346001 # AL
12 1 24.657000 8.131000 85.074997 # AL
13 2 24.830999 3.570000 79.264999 # O
14 2 14.560000 7.824000 84.642998 # O
15 2 27.681999 12.271000 90.361000 # O
16 1 9.520000 6.838000 69.575996 # AL
17 1 12.881000 10.993000 68.194000 # AL
18 2 12.575000 4.261000 65.164001 # O
19 2 5.436000 8.200000 74.440002 # O
20 2 15.497000 17.840000 68.913002 # O
21 1 14.108000 15.229000 66.185997 # AL
22 1 18.878000 12.451000 66.216003 # AL
23 2 15.173000 14.960000 60.335999 # O
24 2 11.612000 16.327000 72.082001 # O
25 2 24.448999 9.006000 69.581001 # O
26 1 31.364000 7.031000 52.764000 # AL
27 1 31.629999 12.395000 51.488998 # AL
28 2 31.164000 9.392000 58.223999 # O
29 2 31.487000 3.050000 47.632999 # O
30 2 32.088001 18.000000 46.734001 # O
31 1 72.556000 9.002000 8.422000 # AL
32 1 67.569000 8.947000 10.787000 # AL
33 2 74.074997 10.237000 14.043000 # O
34 2 72.508003 7.772000 2.044000 # O
35 2 60.245998 8.173000 10.655000 # O
36 1 110.306999 7.087000 83.514999 # AL
37 1 105.310997 9.114000 82.334000 # AL
38 2 107.906998 7.133000 88.961998 # O
39 2 114.218002 6.437000 78.370003 # O
40 2 100.204002 11.714000 77.708000 # O
41 1 74.271004 9.994000 57.535999 # AL
42 1 72.324997 13.741000 61.091000 # AL
43 2 71.864998 13.875000 53.717999 # O
44 2 77.278999 4.961000 60.331001 # O
45 2 71.171997 16.388000 67.865997 # O
46 1 89.330002 7.121000 22.966999 # AL
47 1 93.972000 4.135000 22.886999 # AL
48 2 89.334999 5.087000 28.561001 # O
49 2 87.943001 10.064000 17.344999 # O
50 2 99.981003 1.425000 19.604000 # O
51 1 115.068001 7.729000 45.741001 # AL
52 1 109.676003 8.227000 44.672001 # AL
53 2 112.917000 7.706000 51.291000 # O
54 2 118.845001 7.603000 40.458000 # O
55 2 103.915001 8.885000 40.131001 # O
56 1 83.309998 9.767000 79.703003 # AL
57 1 81.168999 5.119000 77.634003 # AL
58 2 84.401001 6.040000 84.213997 # O
59 2 82.845001 14.913000 75.766998 # O
60 2 77.777000 1.217000 72.389000 # O
61 1 111.512001 2.656000 50.945999 # AL
62 1 107.969002 6.852000 50.388000 # AL
63 2 110.450996 3.870000 56.675999 # O
64 2 113.638000 0.182000 45.327999 # O
65 2 103.984001 11.597000 46.408001 # O
66 1 32.062000 4.013000 12.905000 # AL
67 1 32.264999 9.371000 11.594000 # AL
68 2 26.933001 5.850000 15.302000 # O
69 2 37.178001 0.564000 10.875000 # O
70 2 35.445000 15.267000 8.533000 # O
71 1 23.840000 7.548000 92.566002 # AL
72 1 23.052999 4.637000 87.941002 # AL
73 2 26.349001 2.391000 94.161003 # O
74 2 21.542000 13.619000 92.332001 # O
75 2 20.607000 3.800000 81.045998 # O
76 1 113.688004 10.031000 9.240000 # AL
77 1 116.250999 6.600000 12.723000 # AL
78 2 115.403999 5.796000 5.427000 # O
79 2 111.192001 15.328000 12.052000 # O
80 2 118.595001 4.565000 19.400999 # O
81 1 81.123001 3.331000 43.712002 # AL
82 1 78.143997 6.778000 40.595001 # AL
83 2 80.675003 0.089000 38.740002 # O
84 2 82.460999 5.577000 49.658001 # O
85 2 74.540001 13.085000 39.384998 # O
86 1 48.705002 9.489000 12.079000 # AL
87 1 49.609001 9.529000 17.524000 # AL
88 2 51.828999 4.454000 12.635000 # O
89 2 45.282001 14.560000 9.896000 # O
90 2 49.002998 12.444000 24.260000 # O
91 1 34.160000 10.326000 16.969999 # AL
92 1 39.236000 12.185000 18.087000 # AL
93 2 35.048000 7.760000 22.267000 # O
94 2 31.752001 12.361000 11.291000 # O
95 2 45.305000 16.052000 16.521999 # O
96 1 84.082001 7.327000 57.800999 # AL
97 1 89.567001 6.980000 57.284000 # AL
98 2 85.598999 6.519000 63.500000 # O
99 2 80.918999 8.244000 52.202000 # O
100 2 95.808998 6.991000 53.375999 # O
101 1 108.174004 12.736000 74.494003 # AL
102 1 105.304001 9.071000 71.525002 # AL
103 2 112.324997 11.152000 70.532997 # O
104 2 104.837997 15.425000 79.375999 # O
105 2 99.228996 5.226000 69.932999 # O
106 1 16.080000 5.904000 46.087002 # AL
107 1 10.606000 5.263000 46.396999 # AL
108 2 14.429000 11.567000 46.880001 # O
109 2 19.375999 0.378000 45.195000 # O
110 2 4.455000 1.213000 46.348999 # O
111 1 70.833000 14.659000 75.671997 # AL
112 1 70.603996 12.457000 70.614998 # AL
113 2 76.031998 16.563999 73.489998 # O
114 2 65.653000 13.390000 79.379997 # O
115 2 67.352997 8.523000 65.306000 # O
116 1 16.518000 16.061001 85.404999 # AL
117 1 13.006000 12.544000 83.003998 # AL
118 2 11.388000 17.995001 87.723000 # O
119 2 22.742001 15.157000 83.779999 # O
120 2 11.373000 6.890000 78.577003 # O
121 1 85.609001 6.971000 27.240000 # AL
122 1 86.125999 12.320000 28.500000 # AL
123 2 84.027000 9.404000 22.044001 # O
124 2 87.053001 2.922000 32.110001 # O
125 2 87.695999 17.865000 33.085999 # O
126 1 78.431999 4.632000 64.088997 # AL
127 1 72.933998 4.483000 64.563004 # AL
128 2 76.887001 6.870000 58.793999 # O
129 2 81.627998 2.417000 69.292999 # O
130 2 66.692001 3.019000 68.185997 # O
131 1 83.096001 12.280000 63.083000 # AL
132 1 87.005997 8.507000 64.057999 # AL
133 2 84.281998 10.569000 57.506001 # O
134 2 80.735001 15.130000 68.420998 # O
135 2 91.394997 4.593000 68.489998 # O
136 1 52.723000 6.714000 89.257004 # AL
137 1 57.356998 9.685000 88.851997 # AL
138 2 51.167000 10.449000 84.890999 # O
139 2 52.912998 2.060000 93.783997 # O
140 2 64.244003 11.410000 90.808998 # O
141 1 10.201000 11.105000 79.624001 # AL
142 1 15.262000 13.251000 80.130997 # AL
143 2 10.504000 11.624000 85.545998 # O
144 2 8.389000 9.943000 73.495003 # O
145 2 21.643000 15.736000 77.422997 # O
146 1 63.882000 5.540000 49.952999 # AL
147 1 63.058998 10.985000 50.337002 # AL
148 2 69.322998 7.500000 48.543999 # O
149 2 58.634998 1.941000 51.259998 # O
150 2 58.901001 16.923000 51.634998 # O
151 1 96.865997 8.871000 72.417999 # AL
152 1 94.281998 13.415000 70.641998 # AL
153 2 101.568001 12.280000 71.112999 # O
154 2 92.889999 4.078000 74.263000 # O
155 2 88.263000 17.361000 69.084000 # O
156 1 10.828000 7.030000 66.247002 # AL
157 1 9.568000 7.762000 71.570999 # AL
158 2 15.622000 10.079000 68.023003 # O
159 2 6.364000 3.735000 62.868999 # O
160 2 5.212000 6.978000 77.457001 # O
161 1 47.081001 12.672000 82.287003 # AL
162 1 46.618999 7.753000 84.749001 # AL
163 2 48.648998 9.118000 77.777000 # O
164 2 45.634998 17.724001 86.105003 # O
165 2 45.129002 3.404000 90.501999 # O
166 1 32.484001 15.795000 54.557999 # AL
167 1 37.617001 13.910000 55.319000 # AL
168 2 34.740002 16.747999 49.132999 # O
169 2 28.680000 15.394000 59.807999 # O
170 2 42.981998 10.929000 59.388000 # O
